id;eventId;classTxt;distance;climbing;controls
79320;3747;D10;1.70;0;16
79321;3747;D12;2.10;0;18
79322;3747;D14;2.20;0;20
79323;3747;D16;2.60;0;18
79324;3747;D18;2.80;0;23
79326;3747;D21;3.00;0;20
79327;3747;D35;2.80;0;23
79328;3747;D45;2.50;0;18
79329;3747;D55;1.60;0;13
79330;3747;D65;0.00;0;0
79331;3747;H10;1.70;0;16
79332;3747;H12;2.20;0;20
79333;3747;H14;2.60;0;18
79334;3747;H16;2.80;0;23
79335;3747;H18;3.00;0;20
79337;3747;H21;3.80;0;27
79338;3747;H35;3.00;0;20
79339;3747;H45;2.80;0;23
79340;3747;H55;2.50;0;18
79341;3747;H65;2.10;0;18
79342;3747;HDR;1.10;0;10
79343;3747;LINIE;1.10;0;10
81270;3747;P;1.60;0;13
79345;3747;PŘÍCHOZÍ;0.00;0;0
78354;3748;D10;1.96;0;6
78355;3748;D12;2.19;0;7
78356;3748;D14;3.36;0;8
78366;3748;D16;3.95;0;10
78367;3748;D18;5.24;0;11
78368;3748;D21;7.13;0;15
78369;3748;D35;5.24;0;11
78370;3748;D45;3.95;0;10
78371;3748;D55;3.13;0;7
78364;3748;D65;2.86;0;7
78361;3748;H10;1.96;0;6
78362;3748;H12;2.19;0;7
78363;3748;H14;4.01;0;10
78372;3748;H16;5.19;0;12
78373;3748;H18;8.30;0;19
78374;3748;H21;10.08;0;23
78375;3748;H35;8.30;0;19
78376;3748;H45;6.31;0;14
78377;3748;H55;5.19;0;12
78365;3748;H65;3.95;0;10
78357;3748;HDR;2.29;0;5
78358;3748;LINIE;2.29;0;5
81435;3748;P;0.00;0;8
81436;3748;Prichozi;0.00;0;8
78359;3748;PŘÍCHOZÍ;0.00;0;0
78360;3748;T;7.13;0;15
79052;3750;D10N;2.03;0;7
79053;3750;D10C;2.23;0;8
79054;3750;D12C;3.71;0;11
79055;3750;D12D;3.01;0;8
79056;3750;D14C;4.24;0;10
79057;3750;D14D;3.44;0;10
79058;3750;D21E;12.09;0;30
79059;3750;D21A;9.59;0;23
79060;3750;D21B;7.89;0;17
79061;3750;D21C;6.43;0;18
79062;3750;D35C;7.52;0;17
79063;3750;D35D;5.17;0;14
79064;3750;D45C;5.47;0;12
79065;3750;D45D;4.05;0;10
79066;3750;D55C;4.51;0;11
79067;3750;D65C;3.65;0;10
79068;3750;H10N;2.21;0;7
79069;3750;H10C;2.51;0;7
79070;3750;H12C;4.56;0;12
79071;3750;H12D;3.13;0;9
79072;3750;H14C;6.03;0;15
79073;3750;H14D;4.11;0;12
79074;3750;H21E;17.86;0;45
79075;3750;H21A;15.21;0;30
