id;clubTxt;clubAbbr
1;KOB ALFA Brno;ABM
2;A-team NOVO Bruntál;ABR
3;ABK České Budějovice - Šumava;ACB
4;OOB Spartak Adamov;ADA
5;OOB Albrechtice nad Orlicí;ALB
6;Orientační Běh Opava;AOP
7;OOB TJ Baník Ostrava;AOV
8;OK Andante Písek;API
9;Magnus Orienteering;ASU
10;SKOB ARIS Zlín;AZL
11;BETA URSUS Orienteering;BBM
12;SKOB Frýdek - Místek;BFM
13;MTBO Bludný kořen;BLI
14;OK Jiskra Nový Bor;BOR
15;TJ Baník Ostrava OKD;BOV
16;Sokol Burdych;BRM
17;Ulita-HOBRA Orienteering Broumov;BRU
18;KOB Baník Sokolov;BSO
1296;Báječné ženy v orientačním běhu;BZP
20;Bratrstvo Ždárských vrchů;BZR
21;TJ Sokol Čelechovice na Hané;CEL
1596;Čepíci;CEP
22;TJ Loko Česká Třebová;CET
1655;Fajn Club Jihlava;CJI
23;OB Strakonice;CST
24;SK OB Chotěboř;CTB
25;KOB Dobřichovice;DCE
1052;Radioelektronika Cheb;DCH
26;KOB Kladno;DKL
27;Oddíl OB Kotlářka;DKP
28;KrOB Rozmarýn Litoměřice;DLT
412;Dynamo Malá Skála;DMS
29;KOB Dobruška;DOB
30;OK Doksy;DOK
31;OK Dobříš;DOR
33;TJ Sokol Praha Spořilov - Roztyly;DVP
34;VŠTJ Ekonom Praha;EKP
35;PEV Zlín;EZL
37;VSK ČVUT Fakulta Stavební Praha;FSP
38;Jizerský klub OB Frýdlant;FYD
1512;GIGANT Orienteering;GIG
39;OB Havířov;HAV
40;TJ Hostivice;HCE
1518;Orientační klub Heršpice;HER
41;KČT - OB Holešov;HLV
42;SKOB  Horní Benešov;HOB
43;TJ Jiskra Hořice;HOR
44;TJ Tatran Hostinné;HOS
45;Horizont klub Šumperk;HSU
46;OK Chrastava;CHA
47;K.O.B. Choceň;CHC
48;OOB SK Chrast;CHT
50;OB Jenišovice;JEN
51;Jehlanka Team;JEP
52;OK Rakovník;JES
53;TJ Jiskra Havlíčkův Brod;JHB
54;OK Jilemnice;JIL
55;Oddíl OS SK Prostějov;JPV
56;TJ Jižní svahy Zlín;JZL
57;Originální Vivalín Team Kadaň;KAD
58;OK Kamenice;KAM
60;KOB Kamenický Šenov;KAS
61;KBP Praha;KBP
62;KOB Český Krumlov;KCK
63;Sokol Kostelec n. Č. l.;KNC
64;KOB Konice;KON
320;OB DDM Kostelec nad Orlicí;KOR
65;SOOB TJ Sokol Kralupy n.Vlt.;KPY
66;OOB TJ Sokol Křemže;KRE
67;Kometa Kralovice;KRL
68;KOS TJ Lokomotiva Krnov;KRN
69;SK KOURA;KRP
70;OB Kašperské Hory;KSH
71;Klub vytrvalostních sportů Šumperk;KSU
72;SK Kotnov Tábor;KTA
73;KOB Ústí nad Labem;KUL
74;TJ Sokol Kunvald;KUN
75;KOB Ústí nad Orlicí;KUO
76;Orientační oddíl SKV Praha;KVP
77;SKOB Kobra Vsetín;KVS
78;SK SP Kylešovice;KYL
79;TJ Lokomotiva Beroun;LBE
80;TJ Lokomotiva Ingstav Brno;LBM
81;OOB TJ Slovan Luhačovice;LCE
82;TJ Lokomotiva Chomutov;LCV
83;KOB Děčín;LDC
84;SKI Klub Lenora;LEN
1103;SOS Mamuti z Lipovky;LIP
85;KOB Litvínov;LIT
86;Krušnohorský rogainingový klub Litvínov;LIV
87;OOB TJ LIAZ Jablonec nad Nisou;LJN
89;TJ Loko Liberec;LLI
219;SK Los Mělník;LME
2113;SK Moravan Louňovice;LOU
91;lepus.cz;LOV
92;OK Lokomotiva Plzeň;LPM
93;OK Lokomotiva Pardubice;LPU
94;OOB TJ Lokomotiva Teplice;LTP
95;OOB TJ Lokomotiva Trutnov;LTU
107;KČT Aš;MAS
108;O-mikron;MBM
109;VŠSK MFF UK Praha;MFP
110;Tesil Milevsko;MIL
112;SK GORDIC Praha Kačerov;MKP
113;MLOK Mariánské Lázně;MLA
114;SKOB Ostrava;MOV
115;TJ Jiskra Nejdek;NEJ
1882;Nejdek Orienteering;NEK
96;SK LOB Nová Paka;NPA
97;OC České Budějovice;OCB
98;SKOB Odry;ODR
99;TJ Aero Odolena Voda;ODV
100;SK OK 24 Praha;OKP
101;PSK Olymp Praha;OLP
102;SKOB Ostrov;ONO
103;SK Haná orienteering;OOL
104;TJ Opava;OOP
105;Orientační sporty Písek;OPI
106;SK Orientační sporty Nové Město na Moravě;OSN
118;OOB TJ Jiskra Otrokovice;OTK
119;TJ Spartak 1. Brněnská;PBM
120;SKP České Budějovice;PCB
1036;Běhej Poděbrady;PDY
121;OK RECO Sport;PEN
122;VŠSK PedF UK Praha;PFP
123;SK Praga;PGP
124;OK 99 Hradec Králové;PHK
125;TJ SOKOL Plumlov;PLU
126;KOB Pardubice;PPU
127;TJ Sokol Ptení;PTE
128;OOB USK Slavie Ústí n.L.;PUL
129;OOB TJ Sokol Pražák;PVD
130;VSS Přírodověda Praha;PVP
131;UNITOP SKP Žďár nad Sázavou;PZR
393;TJ Rapid Bratislava;RBA
133;SK Radioklub Blansko;RBK
392;RC&P TEAM Bratislava;RCP
672;OB Říčany;RIC
134;SKOB Roudnice nad Labem;ROU
135;OK Zubří;ROV
136;OK Roztoky;ROZ
509;ZOOB Rumburk;RUM
137;TJ Růžená;RUZ
