id;name;date;discipline;disciplineTxt;disciplineCZ;disciplineEN;level;levelCZ;levelEN;latitude;longitude;place;ranking
3747;Oblastní žebříček;2017-03-11;3;SP;Sprint;Sprint;4;Oblastní žebříček;Local event;49.7429;13.3258;Plzeň, Skvrňany, ul. T. Brzkové;1
3748;Oblastní žebříček;2017-03-12;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.62;13.3741;areál LDT Lišice;1
3750;Oblastní žebříček (Jarní pohár);2017-03-19;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.1049;15.4912;Újezd u Přelouče;1
3751;Oblastní žebříček;2017-03-25;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.5177;17.6196;Týn nad Bečvou – sokolovna a přilehlé okolí (hřiště);1
3752;Oblastní žebříček;2017-03-25;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;49.0465;17.6824;Újezdec u Luhačovic, myslivecká chata;1
3753;Oblastní žebříček;2017-03-25;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.0386;15.8558;Veská;1
3754;Mistrovství oblasti na krátké trati;2017-03-25;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;49.6806;18.4468;49°40'50.335;1
3756;Mistrovství oblasti ve sprintu;2017-03-25;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;49.0293;17.6579;Uherský Brod, náměstí 1. Máje 2057 - DDM Uherský Brod;1
3759;Oblastní žebříček;2017-04-01;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.6672;15.489;Lučice;1
3760;Oblastní žebříček;2017-04-01;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.2909;16.6309;Brno – Útěchov, sportovní areál;1
3761;Oblastní žebříček;2017-04-01;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.2522;13.3671;Krásný Dvůr - koupaliště;1
3762;Mistrovství oblasti na krátké trati;2017-04-01;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;49.2837;17.2815;Věžky;1
3763;Oblastní žebříček;2017-04-01;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.1418;16.3787;Slatina nad Zdobnicí, louka u lesa;1
3764;Oblastní žebříček;2017-04-01;3;SP;Sprint;Sprint;4;Oblastní žebříček;Local event;0;0;Kostelec nad Orlicí;1
3765;Oblastní žebříček;2017-04-01;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.6107;15.1482;Turnov, Malý Rohozec;1
3766;Oblastní žebříček;2017-04-01;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.116;14.2962;Praha-Přední Kopanina;1
3767;Mistrovství oblasti ve sprintu;2017-04-01;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;50.2522;13.367;Krásný Dvůr - koupaliště;1
3768;Mistrovství oblasti ve sprintu;2017-04-01;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;49.7513;18.6088;Městské koupaliště Český Těšín;1
3769;Mistrovství oblasti ve sprintu;2017-04-01;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;50.231;17.2022;Jeseník - gymnázium;1
3770;Oblastní žebříček;2017-04-02;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.0925;13.4328;Krty - retaurace;1
3771;Mistrovství oblasti ve sprintu;2017-04-02;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;50.4356;14.6479;Mšeno;1
3772;Oblastní žebříček;2017-04-08;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.6258;17.0278;Cakov;1
3773;Oblastní žebříček;2017-04-08;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.3312;15.2355;Kamenský Dvůr – louka mezi rybníky Šutrák a Bílým rybníkem;1
3774;Oblastní žebříček;2017-04-08;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.7186;14.664;Velenice u Zákup;1
3775;Mistrovství oblasti na krátké trati;2017-04-08;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;49.9404;13.3741;RS Máj, Plasy;1
3776;Oblastní žebříček;2017-04-08;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;49.8305;14.7896;Kozmice - Hartošice, okr. Benešov, motokrosový areál;1
3777;Mistrovství oblasti ve sprintu;2017-04-08;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;50.6568;14.7229;Mimoň, ZŠ Mírová ul.;1
3778;Mistrovství oblasti ve sprintu;2017-04-08;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;49.1248;16.9132;Heršpice, okr. Vyškov, fotbalové hřiště;1
3779;Oblastní žebříček;2017-04-08;3;SP;Sprint;Sprint;4;Oblastní žebříček;Local event;49.9405;13.3741;RS Máj, Plasy;1
3780;Oblastní žebříček;2017-04-09;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.8817;13.4609;Dobříč;1
3781;Mistrovství oblasti na krátké trati;2017-04-15;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;48.6443;14.2211;Lipno nad Vltavou;1
3782;Mistrovství oblasti ve sprintu;2017-04-15;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;48.6447;14.2214;Lipno nad Vltavou;1
3591;Žebříček B-Morava (Mistrovství Moravy);2017-04-22;1;KL;Klasická trať;Long distance;3;Žebříček B;B - level;49.211;17.5042;Kynologický klub Otrokovice;1
3783;Oblastní žebříček;2017-04-22;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.6876;14.9109;Osečná (směrem k Podvrší);1
3784;Oblastní žebříček (Aprílový závod);2017-04-22;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.1376;12.2103;Libá;1
3786;Mistrovství oblasti na krátké trati;2017-04-22;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;49.0956;15.2325;Zvůle;1
3787;Oblastní žebříček;2017-04-22;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.0265;16.57;Mistrovice;1
3788;Mistrovství oblasti ve sprintu;2017-04-22;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;49.9754;16.4035;Ústí nad Orlicí - hřiště ZŠ Bratří Čapků;1
3789;Mistrovství oblasti na krátké trati;2017-04-22;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;49.8374;14.5889;Týnec nad Sázavou;1
3790;Mistrovství oblasti ve sprintu;2017-04-22;3;SP;Sprint;Sprint;11;Oblastní mistrovství;Local champs;49.1876;15.4501;Telč, Panský dvůr;1
3791;Oblastní žebříček;2017-04-23;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.8317;14.7655;Lückendorf – Dorfgemeinschaftshaus;1
3792;Oblastní žebříček (Ašský štít, 54. ročník);2017-04-23;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.2312;12.2028;Aš;1
3793;Oblastní žebříček;2017-04-23;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;48.6597;14.1731;Frymburk - Ranč U Tří Anč;1
3794;Oblastní žebříček;2017-04-29;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;49.51;16.7703;Benešov;1
3795;Mistrovství oblasti na krátké trati;2017-04-29;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;49.0978;16.3879;Ivančice;1
3802;Oblastní žebříček (Česko-polské dny OB - E1);2017-04-29;3;SP;Sprint;Sprint;4;Oblastní žebříček;Local event;50.9085;15.341;Swieradów – Zdrój -PL;1
3801;Mistrovství oblasti na krátké trati (Česko-polské dny OB - E2);2017-04-30;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;50.966;15.1996;Horní Řasnice;1
3803;Oblastní žebříček (Česko-polské dny OB - E3);2017-05-01;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.8648;15.4465;Rozdrože Izerskie - PL;1
3804;Oblastní žebříček;2017-05-06;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.882;15.9494;Chacholice (hřiště);1
3543;Mistrovství a veteraniáda ČR ve sprintu (finále), WRE;2017-05-07;3;SP;Sprint;Sprint;1;Mistrovství ČR;Czech champs;49.2056;16.5979;Brno;1
3805;Mistrovství a veteraniáda ČR ve sprintu (kvalifikace, WRE-Q), oblastní žebříček;2017-05-07;3;SP;Sprint;Sprint;1;Mistrovství ČR;Czech champs;49.2056;16.5979;Brno;1
3806;Oblastní žebříček;2017-05-08;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.8704;14.2645;Mníšek pod Brdy;1
3807;Mistrovství oblasti na krátké trati;2017-05-08;2;KT;Krátká trať;Middle distance;11;Oblastní mistrovství;Local champs;50.6314;15.7705;Jánské Lázně, dolní stanice lanovky;1
3592;Žebříček B-Čechy;2017-05-13;1;KL;Klasická trať;Long distance;3;Žebříček B;B - level;50.7328;14.9554;Křižany, louka 1 km V od obce (50.7327375N, 14.9554733E);1
3488;Manufaktura Český pohár, INOV-8 CUP - žebříček A, žebříček B-Morava, oblastní žebříček;2017-05-13;1;KL;Klasická trať;Long distance;8;Český pohár;Czech cup;50.2102;16.9892;Paprsek;1
3593;Žebříček B-Čechy;2017-05-14;2;KT;Krátká trať;Middle distance;3;Žebříček B;B - level;50.7328;14.9554;Křižany, louka 1 km V od obce (50.7327375N, 14.9554733E);1
3489;Manufaktura Český pohár, INOV-8 CUP - žebříček A, žebříček B-Morava;2017-05-14;2;KT;Krátká trať;Middle distance;8;Český pohár;Czech cup;50.2101;16.989;Paprsek;1
3491;Manufaktura Český pohár, WRE, INOV-8 CUP - žebříček A;2017-05-20;3;SP;Sprint;Sprint;8;Český pohár;Czech cup;50.3914;17.0045;Javorník, základní škola;1
3808;Oblastní žebříček;2017-05-20;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;49.2641;16.7092;Kanice;1
3809;Oblastní žebříček;2017-05-20;1;KL;Klasická trať;Long distance;4;Oblastní žebříček;Local event;50.2055;12.8963;Areál Vítkova hora;1
3810;Oblastní žebříček;2017-05-20;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;49.3321;17.9292;Vsetín Semetín, Hájenka;1
3811;Oblastní žebříček;2017-05-21;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;50.2055;12.8963;Areál Vítkova hora;1
3812;Oblastní žebříček;2017-05-27;2;KT;Krátká trať;Middle distance;4;Oblastní žebříček;Local event;48.8788;14.3402;Třísov;1
3813;Mistrovství oblasti na klasické trati;2017-05-27;1;KL;Klasická trať;Long distance;11;Oblastní mistrovství;Local champs;50.6805;13.8346;Proboštov - Přítkov;1
3814;Mistrovství oblasti na klasické trati;2017-05-27;1;KL;Klasická trať;Long distance;11;Oblastní mistrovství;Local champs;50.5843;15.8926;Trutnov, Horní Staré Město, ZŠ Mládežnická;1
3815;Mistrovství oblasti na klasické trati;2017-05-27;1;KL;Klasická trať;Long distance;11;Oblastní mistrovství;Local champs;49.173;17.8793;Loučka u Vizovic;1
